"Neighborhood","Class","Units","YearBuilt","SqFt","Income","IncomePerSqFt","Expense","ExpensePerSqFt","NetIncome","Value","ValuePerSqFt","Boro"
"ELMHURST","RR-CONDOMINIUM",14,2006,8400,184800,22,57120,6.8,127680,868000,103.33,"Queens"
"OCEAN HILL","R2-CONDOMINIUM",40,1900,54600,683046,12.51,348353,6.38,334693,2242996,41.08,"Brooklyn"
"GREENWICH VILLAGE-WEST","R9-CONDOMINIUM",169,1925,100633,2727154,27.1,1106963,11,1620191,11693000,116.19,"Manhattan"
"MIDTOWN EAST","R4-CONDOMINIUM",100,1970,60900,2142462,35.18,673554,11.06,1468908,10864000,178.39,"Manhattan"
"WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",14,2004,25452,463735,18.22,190131,7.47,273604,1969004,77.36,"Brooklyn"
"KINGSBRIDGE/JEROME PARK","R4-CONDOMINIUM",53,2005,56512,1186752,21,534604,9.46,652148,4792003,84.8,"Bronx"
"HARLEM-CENTRAL","RR-CONDOMINIUM",123,2004,99275,2216811,22.33,764418,7.7,1452393,10503000,105.8,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",107,1986,87479,3637377,41.58,1061120,12.13,2576257,19449002,222.33,"Manhattan"
"MORRISANIA/LONGWOOD","R9-CONDOMINIUM",110,2005,99240,1271264,12.81,691703,6.97,579561,3870000,39,"Bronx"
"UPPER WEST SIDE (79-96)","R4-CONDOMINIUM",22,1910,28436,974217,34.26,246256,8.66,727961,5393999,189.69,"Manhattan"
"RIVERDALE","R4-CONDOMINIUM",26,2004,105300,1616355,15.35,646542,6.14,969813,6153002,58.43,"Bronx"
"RIVERDALE","R4-CONDOMINIUM",78,1928,95061,1258608,13.24,680637,7.16,577971,3531005,37.14,"Bronx"
"UPPER WEST SIDE (59-79)","R2-CONDOMINIUM",13,1900,6641,252092,37.96,52663,7.93,199429,1509997,227.37,"Manhattan"
"GREENWICH VILLAGE-WEST","R4-CONDOMINIUM",6,1900,26000,863200,33.2,286000,11,577200,4297001,165.27,"Manhattan"
"UPPER EAST SIDE (79-96)","R4-CONDOMINIUM",82,1988,118052,4387993,37.17,1071912,9.08,3316081,24397008,206.66,"Manhattan"
"BEDFORD STUYVESANT","R4-CONDOMINIUM",5,2003,8270,147206,17.8,71205,8.61,76001,548000,66.26,"Brooklyn"
"WILLIAMSBURG-EAST","R4-CONDOMINIUM",12,2002,17800,346744,19.48,142165,7.99,204579,1466000,82.36,"Brooklyn"
"SUNNYSIDE","R4-CONDOMINIUM",52,1936,54986,769804,14,357409,6.5,412395,2529007,45.99,"Queens"
"UPPER EAST SIDE (79-96)","R4-CONDOMINIUM",18,1986,60288,2327117,38.6,641464,10.64,1685653,12753001,211.53,"Manhattan"
"LOWER EAST SIDE","R4-CONDOMINIUM",24,1907,21645,570346,26.35,241342,11.15,329004,2379998,109.96,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",277,1981,276911,10976752,39.64,3057097,11.04,7919655,59875000,216.22,"Manhattan"
"HARLEM-CENTRAL","R9-CONDOMINIUM",74,2003,93600,2219256,23.71,996840,10.65,1222416,8911000,95.2,"Manhattan"
"WASHINGTON HEIGHTS UPPER","R4-CONDOMINIUM",113,1969,109752,2370643,21.6,1162274,10.59,1208369,8769541,79.9,"Manhattan"
"WILLIAMSBURG-SOUTH","R4-CONDOMINIUM",40,NA,73295,1622018,22.13,824569,11.25,797449,5838999,79.66,"Brooklyn"
"MORRISANIA/LONGWOOD","R2-CONDOMINIUM",78,1930,93600,1076400,11.5,698256,7.46,378144,2426009,25.92,"Bronx"
"WHITESTONE","R2-CONDOMINIUM",49,2006,39140,900220,23,352260,9,547960,3828999,97.83,"Queens"
"NEW BRIGHTON","R4-CONDOMINIUM",159,1986,119085,1454028,12.21,677594,5.69,776434,4928992,41.39,"Staten Island"
"HARLEM-CENTRAL","R2-CONDOMINIUM",6,1910,7739,197190,25.48,67948,8.78,129242,881001,113.84,"Manhattan"
"CLINTON","RR-CONDOMINIUM",68,2005,41598,1713838,41.2,443851,10.67,1269987,8963000,215.47,"Manhattan"
"BENSONHURST","R4-CONDOMINIUM",19,2003,35700,654024,18.32,313932,8.79,340092,2447006,68.54,"Brooklyn"
"UPPER EAST SIDE (59-79)","R4-CONDOMINIUM",73,1996,155731,7246163,46.53,1945080,12.49,5301083,39849000,255.88,"Manhattan"
"FINANCIAL","R4-CONDOMINIUM",13,1920,37236,1545666,41.51,439012,11.79,1106654,8355001,224.38,"Manhattan"
"BEDFORD STUYVESANT","R2-CONDOMINIUM",13,1910,11030,166332,15.08,81401,7.38,84931,536802,48.67,"Brooklyn"
"MANHATTAN VALLEY","R4-CONDOMINIUM",14,1900,24987,445018,17.81,209641,8.39,235377,1696998,67.92,"Manhattan"
"CHINATOWN","R4-CONDOMINIUM",74,1989,47161,1582723,33.56,563574,11.95,1019149,7567998,160.47,"Manhattan"
"UPPER WEST SIDE (96-116)","R4-CONDOMINIUM",55,2005,79805,2622392,32.86,923344,11.57,1699048,12633998,158.31,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",9,1910,7335,262886,35.84,67629,9.22,195257,1447999,197.41,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",109,1924,158571,5581699,35.2,1807709,11.4,3773990,27912001,176.02,"Manhattan"
"EAST VILLAGE","R4-CONDOMINIUM",40,1911,25528,864378,33.86,162869,6.38,701509,5206002,203.93,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",372,1997,512280,22673513,44.26,5609466,10.95,17064047,124320032,242.68,"Manhattan"
"UPPER EAST SIDE (79-96)","R4-CONDOMINIUM",43,1989,43065,1686425,39.16,450029,10.45,1236396,9350000,217.11,"Manhattan"
"MIDTOWN EAST","R9-CONDOMINIUM",260,1964,305093,11093181,36.36,4680127,15.34,6413054,47276000,154.96,"Manhattan"
"REGO PARK","R4-CONDOMINIUM",139,1949,132000,1904760,14.43,990000,7.5,914760,5937012,44.98,"Queens"
"BOROUGH PARK","R2-CONDOMINIUM",12,2007,18632,295876,15.88,144025,7.73,151851,1037000,55.66,"Brooklyn"
"LOWER EAST SIDE","R4-CONDOMINIUM",80,2002,43850,1786449,40.74,573120,13.07,1213329,9166000,209.03,"Manhattan"
"BRIGHTON BEACH","R4-CONDOMINIUM",9,2008,9665,227128,23.5,79495,8.23,147633,1062999,109.98,"Brooklyn"
"EAST VILLAGE","R9-CONDOMINIUM",34,1991,36693,1393233,37.97,294645,8.03,1098588,8316000,226.64,"Manhattan"
"LONG ISLAND CITY","R4-CONDOMINIUM",54,2006,60623,1576198,26,484984,8,1091214,7118995,117.43,"Queens"
"CHELSEA","R4-CONDOMINIUM",11,2005,24000,1094640,45.61,187200,7.8,907440,6825003,284.38,"Manhattan"
"REGO PARK","R4-CONDOMINIUM",73,1992,51254,820064,16,389018,7.59,431046,2816003,54.94,"Queens"
"LOWER EAST SIDE","R4-CONDOMINIUM",10,1900,6791,147229,21.68,54328,8,92901,673204,99.13,"Manhattan"
"CLINTON","R4-CONDOMINIUM",83,2007,169323,10347329,61.11,1998011,11.8,8349318,62080991,366.64,"Manhattan"
"WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",28,2003,45000,931500,20.7,381915,8.49,549585,4036998,89.71,"Brooklyn"
"WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",14,2004,14884,271186,18.22,119519,8.03,151667,1091998,73.37,"Brooklyn"
"CHELSEA","R9-CONDOMINIUM",218,1963,196721,6143597,31.23,1375080,6.99,4768517,35605000,180.99,"Manhattan"
"LOWER EAST SIDE","R4-CONDOMINIUM",12,1991,5700,216543,37.99,71706,12.58,144837,1096000,192.28,"Manhattan"
"LOWER EAST SIDE","R4-CONDOMINIUM",16,1900,26783,941958,35.17,272651,10.18,669307,4917002,183.59,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",250,2005,392410,17615285,44.89,4371447,11.14,13243838,99668024,253.99,"Manhattan"
"UPPER EAST SIDE (79-96)","R4-CONDOMINIUM",42,1928,50156,1717341,34.24,561246,11.19,1156095,8567001,170.81,"Manhattan"
"FLUSHING-NORTH","R9-CONDOMINIUM",103,1929,92000,1394720,15.16,736000,8,658720,4331000,47.08,"Queens"
"HARLEM-CENTRAL","R4-CONDOMINIUM",21,1920,24795,400439,16.15,224891,9.07,175548,927302,37.4,"Manhattan"
"CLINTON","R9-CONDOMINIUM",98,1986,97365,3881943,39.87,1251140,12.85,2630803,19885000,204.23,"Manhattan"
"REGO PARK","R2-CONDOMINIUM",5,1966,4234,67321,15.9,29638,7,37683,245000,57.86,"Queens"
"LOWER EAST SIDE","R4-CONDOMINIUM",29,1912,43723,1253976,28.68,546538,12.5,707438,5313001,121.52,"Manhattan"
"JACKSON HEIGHTS","R4-CONDOMINIUM",60,1928,49392,821389,16.63,296352,6,525037,2364996,47.88,"Queens"
"GRAVESEND","R2-CONDOMINIUM",6,2007,8123,156855,19.31,51987,6.4,104868,776000,95.53,"Brooklyn"
"WILLIAMSBURG-NORTH","R4-CONDOMINIUM",63,1910,105657,2338189,22.13,1052185,9.96,1286004,9415996,89.12,"Brooklyn"
"CROWN HEIGHTS","R4-CONDOMINIUM",10,2008,10313,193781,18.79,73841,7.16,119940,864000,83.78,"Brooklyn"
"HARLEM-EAST","R4-CONDOMINIUM",9,2005,10833,377422,34.84,116671,10.77,260751,1973999,182.22,"Manhattan"
"DOWNTOWN-FULTON FERRY","R4-CONDOMINIUM",13,2007,20085,442071,22.01,154655,7.7,287416,2107998,104.95,"Brooklyn"
"TRIBECA","R4-CONDOMINIUM",11,2001,54500,2220330,40.74,712315,13.07,1508015,11391999,209.03,"Manhattan"
"CHELSEA","R4-CONDOMINIUM",13,2003,37035,1366592,36.9,395534,10.68,971058,6661653,179.87,"Manhattan"
"WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",14,2006,21528,445630,20.7,169339,7.87,276291,2030002,94.3,"Brooklyn"
"FLUSHING-NORTH","R4-CONDOMINIUM",102,1985,170000,2650300,15.59,1232500,7.25,1417800,9446009,55.56,"Queens"
"SOHO","R4-CONDOMINIUM",10,1900,22500,719325,31.97,228375,10.15,490950,3671000,163.16,"Manhattan"
"ASTORIA","R9-CONDOMINIUM",618,1932,430000,6763900,15.73,3225000,7.5,3538900,24206000,56.29,"Queens"
"BAY RIDGE","R4-CONDOMINIUM",52,1987,47420,769627,16.23,369421,7.79,400206,2662000,56.14,"Brooklyn"
"WILLIAMSBURG-NORTH","R4-CONDOMINIUM",120,2009,129715,1963885,15.14,1049394,8.09,914491,6287006,48.47,"Brooklyn"
"CORONA","R4-CONDOMINIUM",18,2008,24344,610304,25.07,206924,8.5,403380,2928999,120.32,"Queens"
"WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",19,1931,40294,758736,18.83,417305,10.36,341431,2452994,60.88,"Brooklyn"
"ASTORIA","R2-CONDOMINIUM",7,NA,5624,157472,28,47242,8.4,110230,792000,140.83,"Queens"
"UPPER EAST SIDE (59-79)","R9-CONDOMINIUM",88,1957,89223,3086224,34.59,899368,10.08,2186856,16193000,181.49,"Manhattan"
"PARK SLOPE","R2-CONDOMINIUM",15,1900,10911,264592,24.25,119066,10.91,145526,1058995,97.06,"Brooklyn"
"UPPER WEST SIDE (96-116)","R4-CONDOMINIUM",302,1983,358000,11982260,33.47,4227980,11.81,7754280,46419746,129.66,"Manhattan"
"WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",28,2005,32523,673226,20.7,276023,8.49,397203,2918002,89.72,"Brooklyn"
"HARLEM-EAST","R2-CONDOMINIUM",17,1920,9590,217214,22.65,93407,9.74,123807,905001,94.37,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",10,1902,27065,1135106,41.94,472284,17.45,662822,4697997,173.58,"Manhattan"
"UPPER WEST SIDE (79-96)","R4-CONDOMINIUM",47,1916,92402,3079759,33.33,1050611,11.37,2029148,15075004,163.15,"Manhattan"
"GREENWICH VILLAGE-CENTRAL","R4-CONDOMINIUM",20,2006,36330,1718772,47.31,514796,14.17,1203976,9045002,248.97,"Manhattan"
"TRIBECA","R9-CONDOMINIUM",38,1910,73919,2077863,28.11,737712,9.98,1340151,9646000,130.49,"Manhattan"
"GREENWICH VILLAGE-WEST","R4-CONDOMINIUM",29,2004,72225,3780257,52.34,1066041,14.76,2714216,20302010,281.09,"Manhattan"
"MIDTOWN EAST","R4-CONDOMINIUM",18,2001,11861,508956,42.91,135097,11.39,373859,2819999,237.75,"Manhattan"
"UPPER WEST SIDE (96-116)","R4-CONDOMINIUM",148,1920,107102,2711823,25.32,645825,6.03,2065998,14994009,140,"Manhattan"
"MIDTOWN EAST","R4-CONDOMINIUM",166,1977,122021,4984558,40.85,1471573,12.06,3512985,26535001,217.46,"Manhattan"
"GRANT CITY","R4-CONDOMINIUM",100,1986,78903,1321625,16.75,673832,8.54,647793,4687000,59.4,"Staten Island"
"MIDTOWN EAST","R4-CONDOMINIUM",59,1941,53435,1742515,32.61,585113,10.95,1157402,8611002,161.15,"Manhattan"
"BUSH TERMINAL","R2-CONDOMINIUM",8,2009,9894,254672,25.74,164834,16.66,89838,603000,60.95,"Brooklyn"
"HARLEM-EAST","R9-CONDOMINIUM",215,2005,184939,7436397,40.21,2324683,12.57,5111714,38629000,208.87,"Manhattan"
"TRIBECA","R9-CONDOMINIUM",24,1915,52735,1396950,26.49,522077,9.9,874873,6328000,120,"Manhattan"
"FLUSHING-NORTH","R4-CONDOMINIUM",279,2008,352672,8464128,24,2821376,8,5642752,41144739,116.67,"Queens"
